STATION	DATE	CLDD	DP01	DP05	DP10	DT00	DT32	DT90	DX32	HTDD	EMXP	MXSD	TPCP	TSNW	EMNT	EMXT	MMNT	MMXT	MNTM
GHCND:USC00456898	19291201	0	18	12	6	0	31	0	16	6250	480	1676	3683	2464	-128	106	-51	14	-19
GHCND:USC00456898	19300101	0	6	3	1	10	29	0	26	8262	312	2184	838	609	-233	33	-129	-73	-102
GHCND:USC00456898	19300201	0	15	10	7	1	25	0	14	5528	521	2616	3605	1765	-200	72	-60	0	-30
GHCND:USC00456898	19300301	0	11	9	4	0	26	0	12	5834	711	3658	3227	2247	-128	183	-63	42	-11
GHCND:USC00456898	19300401	0	11	3	1	0	23	0	0	4217	279	2819	1217	457	-89	183	-15	90	38
GHCND:USC00456898	19300501	0	15	6	2	0	19	0	5	4523	445	2235	2246	889	-67	200	-5	80	37
GHCND:USC00456898	19300601	0	8	0	0	0	4	0	0	2862	117	1270	655	25	-22	289	33	143	88
GHCND:USC00456898	19300701	12	0	0	0	0	2	0	0	1670	13	-9999	13	0	0	294	60	199	130
GHCND:USC00456898	19300801	15	-9999	-9999	-9999	0	1	0	0	1278	-9999	-9999	-9999	-9999	0	283	61	210	138
GHCND:USC00456898	19300901	1	7	3	0	0	2	0	0	1281	218	0	898	8	-17	261	56	136	103
GHCND:USC00456898	19301001	0	8	5	4	0	16	0	3	4210	511	102	2177	143	-83	161	-2	80	38
GHCND:USC00456898	19301101	0	9	7	3	0	13	0	7	4552	406	1219	2007	1588	-106	206	-6	68	31
GHCND:USC00456898	19301201	0	9	4	0	0	26	0	10	5804	211	1270	1000	920	-94	139	-37	29	-4
GHCND:USC00456898	19310101	0	19	11	7	0	27	0	12	5931	719	2464	4549	2420	-111	167	-44	27	-8
GHCND:USC00456898	19310201	0	12	4	3	0	28	0	11	5789	754	2616	2372	1557	-111	78	-66	19	-24
GHCND:USC00456898	19310301	0	19	12	4	0	29	0	12	6309	531	3912	3906	3304	-128	117	-60	19	-21
GHCND:USC00456898	19310401	0	7	4	2	0	22	0	3	5003	361	4115	1290	981	-133	167	-43	66	11
GHCND:USC00456898	19310501	0	6	2	1	0	17	0	0	3834	269	2540	803	465	-72	217	3	116	59
GHCND:USC00456898	19310601	0	17	9	0	0	7	0	0	3046	239	559	2243	3	-33	222	32	123	78
GHCND:USC00456898	19310701	88	1	0	0	0	0	0	0	1542	64	-9999	79	-9999	28	272	77	182	129
GHCND:USC00456898	19310801	26	1	1	0	0	1	0	0	1973	173	-9999	181	-9999	-6	256	62	179	120
GHCND:USC00456898	19310901	0	8	5	2	0	2	0	0	1591	1270	-9999	2267	-9999	-17	194	29	109	69
GHCND:USC00456898	19311001	0	7	6	6	0	16	0	7	4166	759	1270	3009	1905	-78	206	-1	91	44
