DATE	MXSD	TSNW
19961201	4216	6802
19970101	4470	3148
19970201	5385	1739
19970301	6807	4127
19970401	6248	1740
19970501	6096	419
19970601	4318	0
19970801	203	0
19970901	0	0
19971001	127	151
19971101	1397	2616
19971201	2286	2910
19980101	4115	5041
19980201	4623	2591
19980301	4775	2030
19980401	4369	621
19980501	3505	686
19980601	2794	130
19980701	1016	0
19980801	0	0
19980901	0	0
19981001	178	634
19981101	1778	3757
19981201	3429	4875
19990101	5029	4461
19990201	6858	4535
19990301	7366	3518
19990401	7188	1131
19990501	6934	1386
19990601	5283	152
19990701	3861	64
19990801	1372	0
19990901	0	0
19991001	203	339
19991101	762	1892
19991201	2718	4078
20000101	4166	5321
20000201	4470	1807
20000301	5207	2868
20000401	4750	929
20000501	4343	851
20000601	2921	89
20000701	1422	13
20000801	0	0
20000901	0	0
20001001	127	203
20001101	1092	559
20001201	1930	1779
20010101	2235	1983
20010201	2743	1779
20010301	2870	1854
20010401	3353	2451
20010501	3683	940
20010601	2007	547
20010701	457	0
20010801	0	0
20010901	0	0
20011001	406	990
20011101	1575	2256
20011201	3480	5208
20020101	4826	3305
20020201	5131	2096
20020301	6198	4497
20020401	5537	1371
20020501	5283	674
20020601	3912	51
20020701	1829	0
20020801	0	0
20020901	0	0
20021001	25	63
20021101	381	840
20021201	1880	3520
20030101	1956	1422
20030201	2896	1968
20030301	4394	3899
20030501	3861	752
20030601	2769	46
20030701	508	0
20030801	0	0
20030901	25	46
20031001	203	580
20031101	1829	3465
20031201	2946	3707
20040101	4039	2590
20040201	4470	2389
20040301	4877	1866
20040401	4318	204
20040501	3353	230
20040601	2413	26
20040701	0	0
20040801	0	0
20040901	51	51
20041001	559	914
20041101	584	992
20041201	1295	1960
20050101	1651	1169
20050201	1473	978
20050301	2261	2447
20050401	2413	1749
20050501	1626	190
20050601	51	51
20050701	0	0
20050801	0	0
20050901	51	51
20051001	152	331
20051101	1575	3478
20051201	2210	2628
20060101	4267	6072
